学校,所在地,AB区,985,211,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,光华管理学院,(025100)(专业学位)金融,全日制,专业：37(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,光华管理学院,(025100)(专业学位)金融,全日制,专业：37(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025100)(专业学位)金融,全日制,专业：79(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025100)(专业学位)金融,全日制,专业：79(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,国际学院,(025100)(专业学位)金融,全日制,专业：33(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
清华大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
清华大学,北京,A,1,1,1,统考,五道口金融学院,(025100)(专业学位)金融,全日制,研究方向：35(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京交通大学,北京,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京交通大学,北京,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京交通大学,北京,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京交通大学,北京,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京工业大学,北京,A,1,0,1,统考,经济与管理学院,(025100)(专业学位)金融,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京航空航天大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
中国农业大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京师范大学,北京,A,1,1,1,统考,经济与工商管理学院,(025100)(专业学位)金融,全日制,专业：44(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
北京外国语大学,北京,A,1,0,1,统考,国际商学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(242)德语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(243)西班牙语,(303)数学（三）,(431)金融学综合
中央财经大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：143(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中央财经大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：143(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中央财经大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：143(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中央财经大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：143(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中央财经大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：143(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
对外经济贸易大学,北京,A,1,0,1,统考,国际经济贸易学院,(025100)(专业学位)金融,全日制,专业：110(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
对外经济贸易大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：146(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
对外经济贸易大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：146(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
对外经济贸易大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：146(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
对外经济贸易大学,北京,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：146(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
外交学院,北京,A,0,0,1,统考,国际经济学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
中央民族大学,北京,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：48(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
中国政法大学,北京,A,1,0,1,统考,商学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(242)西班牙语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(243)意大利语,(303)数学（三）,(431)金融学综合
中国政法大学,北京,A,1,0,1,统考,商学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(242)西班牙语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(243)意大利语,(303)数学（三）,(431)金融学综合
中国政法大学,北京,A,1,0,1,统考,商学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(242)西班牙语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(243)意大利语,(303)数学（三）,(431)金融学综合
中国政法大学,北京,A,1,0,1,统考,商学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(242)西班牙语,(303)数学（三）,(431)金融学综合,(101)思想政治理论,(243)意大利语,(303)数学（三）,(431)金融学综合
