学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京大学,北京,A,985，211，双一流,统考,马克思主义学院,(020101)政治经济学,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(809)经济学基础（含政治经济学、西方经济学）,(101)思想政治理论,(202)俄语,(303)数学（三）,(809)经济学基础（含政治经济学、西方经济学）,(101)思想政治理论,(203)日语,(303)数学（三）,(809)经济学基础（含政治经济学、西方经济学）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京大学,北京,A,985，211，双一流,统考,深圳研究生院,(020104)西方经济学,全日制,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(833)经济学（宏观和微观）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020101)政治经济学,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020102)经济思想史,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020103)经济史,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020103)经济史,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020104)西方经济学,全日制,专业：14(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(020105)世界经济,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(0201Z1)网络经济学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(0201Z2)企业经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
