#,院校名称,所在地,院校隶属,研究生院,自划线院校,院校代码,IS211,IS985,AB,双一流
1,北京大学,北京,教育部,1,1,10001,1,1,A,1
2,中国人民大学,北京,教育部,1,1,10002,1,1,A,1
3,清华大学,北京,教育部,1,1,10003,1,1,A,1
4,北京交通大学,北京,教育部,1,0,10004,0,1,A,1
5,北京工业大学,北京,北京市,0,0,10005,0,1,A,1
6,北京航空航天大学,北京,工业与信息化部,1,1,10006,1,1,A,1
7,北京理工大学,北京,工业与信息化部,1,1,10007,1,1,A,1
8,北京科技大学,北京,教育部,1,0,10008,0,1,A,1
9,北方工业大学,北京,北京市,0,0,10009,0,0,A,0
10,北京化工大学,北京,教育部,0,0,10010,0,1,A,1
11,北京工商大学,北京,北京市,0,0,10011,0,0,A,0
12,北京服装学院,北京,北京市,0,0,10012,0,0,A,0
13,北京邮电大学,北京,教育部,1,0,10013,0,1,A,1
14,北京印刷学院,北京,北京市,0,0,10015,0,0,A,0
15,北京建筑大学,北京,北京市,0,0,10016,0,0,A,0
16,北京石油化工学院,北京,北京市,0,0,10017,0,0,A,0
17,北京电子科技学院,北京,中央办公厅,0,0,10018,0,0,A,0
18,中国农业大学,北京,教育部,1,1,10019,1,1,A,1
19,北京农学院,北京,北京市,0,0,10020,0,0,A,0
20,北京林业大学,北京,教育部,1,0,10022,0,1,A,1
21,北京协和医学院,北京,国家卫生健康委员会,1,0,10023,0,0,A,1
22,首都医科大学,北京,北京市,0,0,10025,0,0,A,0
23,北京中医药大学,北京,教育部,0,0,10026,0,1,A,1
24,北京师范大学,北京,教育部,1,1,10027,1,1,A,1
25,首都师范大学,北京,北京市,0,0,10028,0,0,A,1
26,首都体育学院,北京,北京市,0,0,10029,0,0,A,0
27,北京外国语大学,北京,教育部,0,0,10030,0,1,A,1
28,北京第二外国语学院,北京,北京市,0,0,10031,0,0,A,0
29,北京语言大学,北京,教育部,0,0,10032,0,0,A,0
30,中国传媒大学,北京,教育部,0,0,10033,0,1,A,1
31,中央财经大学,北京,教育部,0,0,10034,0,1,A,1
32,对外经济贸易大学,北京,教育部,0,0,10036,0,1,A,1
33,北京物资学院,北京,北京市,0,0,10037,0,0,A,0
34,首都经济贸易大学,北京,北京市,0,0,10038,0,0,A,0
35,外交学院,北京,外交部,0,0,10040,0,0,A,1
36,中国人民公安大学,北京,公安部,0,0,10041,0,0,A,1
37,国际关系学院,北京,教育部,0,0,10042,0,0,A,0
38,北京体育大学,北京,国家体育总局,0,0,10043,0,1,A,1
39,中央音乐学院,北京,教育部,0,0,10045,0,1,A,1
40,中国音乐学院,北京,北京市,0,0,10046,0,0,A,1
41,中央美术学院,北京,教育部,0,0,10047,0,0,A,1
42,中央戏剧学院,北京,教育部,0,0,10048,0,0,A,1
43,中国戏曲学院,北京,北京市,0,0,10049,0,0,A,0
44,北京电影学院,北京,北京市,0,0,10050,0,0,A,0
45,北京舞蹈学院,北京,北京市,0,0,10051,0,0,A,0
46,中央民族大学,北京,国家民族事务委员会,0,0,10052,1,1,A,1
47,中国政法大学,北京,教育部,0,0,10053,0,1,A,1
48,华北电力大学,北京,教育部,0,0,10054,0,1,A,1
49,南开大学,天津,教育部,1,1,10055,1,1,A,1
50,天津大学,天津,教育部,1,1,10056,1,1,A,1
51,天津科技大学,天津,天津市,0,0,10057,0,0,A,0
52,天津工业大学,天津,天津市,0,0,10058,0,0,A,1
53,中国民航大学,天津,中国民用航空局,0,0,10059,0,0,A,0
54,天津理工大学,天津,天津市,0,0,10060,0,0,A,0
55,天津农学院,天津,天津市,0,0,10061,0,0,A,0
56,天津医科大学,天津,天津市,0,0,10062,0,1,A,1
57,天津中医药大学,天津,天津市,0,0,10063,0,0,A,1
58,天津师范大学,天津,天津市,0,0,10065,0,0,A,0
59,天津职业技术师范大学,天津,天津市,0,0,10066,0,0,A,0
60,天津外国语大学,天津,天津市,0,0,10068,0,0,A,0
61,天津商业大学,天津,天津市,0,0,10069,0,0,A,0
62,天津财经大学,天津,天津市,0,0,10070,0,0,A,0
63,天津体育学院,天津,天津市体育局,0,0,10071,0,0,A,0
64,天津音乐学院,天津,天津市,0,0,10072,0,0,A,0
65,天津美术学院,天津,天津市,0,0,10073,0,0,A,0
66,河北大学,河北,河北省,0,0,10075,0,0,A,0
67,河北工程大学,河北,河北省,0,0,10076,0,0,A,0
68,河北地质大学,河北,河北省,0,0,10077,0,0,A,0
69,华北水利水电大学,河南,河南省,0,0,10078,0,0,A,0
70,华北电力大学(保定),河北,教育部,0,0,10079,0,1,A,1
71,河北工业大学,河北,河北省,0,0,10080,0,1,A,1
72,华北理工大学,河北,河北省,0,0,10081,0,0,A,0
73,河北科技大学,河北,河北省,0,0,10082,0,0,A,0
74,河北建筑工程学院,河北,河北省,0,0,10084,0,0,A,0
75,河北农业大学,河北,河北省,0,0,10086,0,0,A,0
76,河北医科大学,河北,河北省,0,0,10089,0,0,A,0
77,河北北方学院,河北,河北省,0,0,10092,0,0,A,0
78,承德医学院,河北,河北省,0,0,10093,0,0,A,0
79,河北师范大学,河北,河北省,0,0,10094,0,0,A,0
80,石家庄铁道大学,河北,河北省,0,0,10107,0,0,A,0
81,山西大学,山西,山西省,0,0,10108,0,0,A,1
82,太原科技大学,山西,山西省,0,0,10109,0,0,A,0
83,中北大学,山西,山西省,0,0,10110,0,0,A,0
84,太原理工大学,山西,山西省,0,0,10112,0,1,A,1
85,山西农业大学,山西,山西省,0,0,10113,0,0,A,0
86,山西医科大学,山西,山西省,0,0,10114,0,0,A,0
87,长治医学院,山西,山西省,0,0,10117,0,0,A,0
88,山西师范大学,山西,山西省,0,0,10118,0,0,A,0
89,太原师范学院,山西,山西省,0,0,10119,0,0,A,0
90,山西大同大学,山西,山西省,0,0,10120,0,0,A,0
91,山西财经大学,山西,山西省,0,0,10125,0,0,A,0
92,内蒙古大学,内蒙古,内蒙古自治区,0,0,10126,0,1,B,1
93,内蒙古科技大学,内蒙古,内蒙古自治区,0,0,10127,0,0,B,0
94,内蒙古工业大学,内蒙古,内蒙古自治区,0,0,10128,0,0,B,0
95,内蒙古农业大学,内蒙古,内蒙古自治区,0,0,10129,0,0,B,0
96,内蒙古医科大学,内蒙古,内蒙古自治区,0,0,10132,0,0,B,0
97,内蒙古师范大学,内蒙古,内蒙古自治区,0,0,10135,0,0,B,0
98,内蒙古民族大学,内蒙古,内蒙古自治区,0,0,10136,0,0,B,0
99,赤峰学院,内蒙古,内蒙古自治区,0,0,10138,0,0,B,0
100,内蒙古财经大学,内蒙古,内蒙古自治区,0,0,10139,0,0,B,0
101,辽宁大学,辽宁,辽宁省,0,0,10140,0,1,A,1
102,大连理工大学,辽宁,教育部,1,1,10141,1,1,A,1
103,沈阳工业大学,辽宁,辽宁省,0,0,10142,0,0,A,0
104,沈阳航空航天大学,辽宁,辽宁省,0,0,10143,0,0,A,0
105,沈阳理工大学,辽宁,辽宁省,0,0,10144,0,0,A,0
106,东北大学,辽宁,教育部,1,1,10145,1,1,A,1
107,辽宁科技大学,辽宁,辽宁省,0,0,10146,0,0,A,0
108,辽宁工程技术大学,辽宁,辽宁省,0,0,10147,0,0,A,0
109,辽宁石油化工大学,辽宁,辽宁省,0,0,10148,0,0,A,0
110,沈阳化工大学,辽宁,辽宁省,0,0,10149,0,0,A,0
111,大连交通大学,辽宁,辽宁省,0,0,10150,0,0,A,0
112,大连海事大学,辽宁,交通运输部,0,0,10151,0,1,A,1
113,大连工业大学,辽宁,辽宁省,0,0,10152,0,0,A,0
114,沈阳建筑大学,辽宁,辽宁省,0,0,10153,0,0,A,0
115,辽宁工业大学,辽宁,辽宁省,0,0,10154,0,0,A,0
116,沈阳农业大学,辽宁,辽宁省,0,0,10157,0,0,A,0
117,大连海洋大学,辽宁,辽宁省,0,0,10158,0,0,A,0
118,中国医科大学,辽宁,辽宁省,0,0,10159,0,0,A,0
